序号,地区,字项,义项,读音,备注,本地文件名
0001,浙江-温州-鹿城,多,many,tɤu33,单字_老男,0001_多_浙江-温州-鹿城.wav
0002,浙江-温州-鹿城,拖,drag,thɤu33,单字_老男,0002_拖_浙江-温州-鹿城.wav
0003,浙江-温州-鹿城,大,big,dɤu22,单字_老男,0003_大_浙江-温州-鹿城.wav
0004,浙江-温州-鹿城,锣,gong,lɤu31,单字_老男,0004_锣_浙江-温州-鹿城.wav
0005,浙江-温州-鹿城,左,left,tsɤu25,单字_老男,0005_左_浙江-温州-鹿城.wav
0006,浙江-温州-鹿城,歌,song,ku33,单字_老男,0006_歌_浙江-温州-鹿城.wav
0007,浙江-温州-鹿城,个,one,kai51,单字_老男,0007_个_浙江-温州-鹿城.wav
0008,浙江-温州-鹿城,可,can,khuɔ25,单字_老男,0008_可_浙江-温州-鹿城.wav
0009,浙江-温州-鹿城,鹅,goose,ŋo31 Ǿŋ31,单字_老男 白 文,0009_鹅_浙江-温州-鹿城.wav
0010,浙江-温州-鹿城,饿,hungry,ŋai22,单字_老男,0010_饿_浙江-温州-鹿城.wav
0011,浙江-温州-鹿城,河,river,vu31,单字_老男,0011_河_浙江-温州-鹿城.wav
0012,浙江-温州-鹿城,茄,eggplant,ɡa31 dzɿ31,单字_老男 番～ ～儿,0012_茄_浙江-温州-鹿城.wav
0013,浙江-温州-鹿城,破,break,pha51 phø51,单字_老男 白 文,0013_破_浙江-温州-鹿城.wav
0014,浙江-温州-鹿城,婆,mother-in-law,bø31,单字_老男,0014_婆_浙江-温州-鹿城.wav
0015,浙江-温州-鹿城,磨,grind,mø31,单字_老男,0015_磨_浙江-温州-鹿城.wav
0016,浙江-温州-鹿城,磨,mill,mø22,单字_老男,0016_磨_浙江-温州-鹿城.wav
0017,浙江-温州-鹿城,躲,hide,tɤu25,单字_老男,0017_躲_浙江-温州-鹿城.wav
0018,浙江-温州-鹿城,螺,screw,lɤu31,单字_老男,0018_螺_浙江-温州-鹿城.wav
0019,浙江-温州-鹿城,坐,sit,zuɔ14,单字_老男,0019_坐_浙江-温州-鹿城.wav
