序号,地区,字项,义项,读音,备注,音频链接,本地文件名
8901,永嘉-城关,儿(2),ér(白读一)(用于儿化尾),ŋ22,二，白读,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b390/08901%c3%a9r%28%e7%99%bd%e8%af%bb%e4%b8%80%29%28%e7%94%a8%e4%ba%8e%e5%84%bf%e5%8c%96%e5%b0%be%29.wav,8901_儿2_永嘉-城关.wav
8900,永嘉-城关,嗯⑶,ɡ(叹词，表示应诺),ŋ22,二，叹词,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b390/08900%ee%9f%88%c9%a1%28%e5%8f%b9%e8%af%8d%ef%bc%8c%e8%a1%a8%e7%a4%ba%e5%ba%94%e8%af%ba%29.wav,8900_嗯⑶_永嘉-城关.wav
8899,永嘉-城关,唔⑵,wù(表示没有的否定字),ŋ22,二，叹词,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08899w%c3%b9%28%e8%a1%a8%e7%a4%ba%e6%b2%a1%e6%9c%89%e7%9a%84%e5%90%a6%e5%ae%9a%e5%ad%97%29.wav,8899_唔⑵_永嘉-城关.wav
8898,永嘉-城关,旿,wù(光明),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08898w%c3%b9%28%e5%85%89%e6%98%8e%29.wav,8898_旿_永嘉-城关.wav
8897,永嘉-城关,寤,wù(醒寤),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08897w%c3%b9%28%e9%86%92%e5%af%a4%29.wav,8897_寤_永嘉-城关.wav
8896,永嘉-城关,痦,wù(痦子：皮肤上微微突起的黑痣),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08896w%c3%b9%28%e7%97%a6%e5%ad%90%ef%bc%9a%e7%9a%ae%e8%82%a4%e4%b8%8a%e5%be%ae%e5%be%ae%e7%aa%81%e8%b5%b7%e7%9a%84%e9%bb%91%e7%97%a3%29.wav,8896_痦_永嘉-城关.wav
8895,永嘉-城关,焐,wù(用热的东西接触凉湿的东西，使变暖),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08895w%c3%b9%28%e7%94%a8%e7%83%ad%e7%9a%84%e4%b8%9c%e8%a5%bf%e6%8e%a5%e8%a7%a6%e5%87%89%e6%b9%bf%e7%9a%84%e4%b8%9c%e8%a5%bf%ef%bc%8c%e4%bd%bf%e5%8f%98%e6%9a%96%29.wav,8895_焐_永嘉-城关.wav
8894,永嘉-城关,晤,wù(晤面),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08894w%c3%b9%28%e6%99%a4%e9%9d%a2%29.wav,8894_晤_永嘉-城关.wav
8893,永嘉-城关,忤,wǔ(违逆),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08893w%c7%94%28%e8%bf%9d%e9%80%86%29.wav,8893_忤_永嘉-城关.wav
8892,永嘉-城关,迕,wǔ(背逆),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08892w%c7%94%28%e8%83%8c%e9%80%86%29.wav,8892_迕_永嘉-城关.wav
8891,永嘉-城关,娱⑵,yú(娱乐),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08891y%c3%ba%28%e5%a8%b1%e4%b9%90%29.wav,8891_娱⑵_永嘉-城关.wav
8890,永嘉-城关,悟,wù(觉悟),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08890w%c3%b9%28%e8%a7%89%e6%82%9f%29.wav,8890_悟_永嘉-城关.wav
8889,永嘉-城关,捂,wǔ(迎面),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08889w%c7%94%28%e8%bf%8e%e9%9d%a2%29.wav,8889_捂_永嘉-城关.wav
8888,永嘉-城关,误,wù(错误)(谬误),ŋ22,二，疑暮去遇合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08888w%c3%b9%28%e9%94%99%e8%af%af%29%28%e8%b0%ac%e8%af%af%29.wav,8888_误_永嘉-城关.wav
8887,永嘉-城关,卧,wò(卧铺),ŋ22,二，疑过去果合一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08887w%c3%b2%28%e5%8d%a7%e9%93%ba%29.wav,8887_卧_永嘉-城关.wav
8886,永嘉-城关,饿,è(文读)(饥饿),ŋ22,二，疑个去果开一,http://wzhzyk.db.wzlib.cn//uploads/bokt8l60td6o/data/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b3/%e6%b8%a9%e5%b7%9e_%e6%b0%b8%e5%98%89_%e5%9f%8e%e5%85%b389/08886%c3%a8%28%e6%96%87%e8%af%bb%29%28%e9%a5%a5%e9%a5%bf%29.wav,8886_饿_永嘉-城关.wav
